City,Latitude,Longitude,Season,Hour,Month,Year,Station ID,PM2.5 (µg/m³),Severity,Threshold
Shanghai,48.629079983871776,105.23830183770646,Spring,17,11,2017,18,194.1747895640595,severe,150.0
Beijing,40.353740227395505,99.195909627058,Spring,3,12,2020,47,204.12792850538222,severe,150.0
Chengdu,25.37284879493256,112.82186746893433,Autumn,4,8,2021,39,187.23478969579338,severe,150.0
Chengdu,48.273093098316316,109.44260439419068,Spring,15,2,2022,17,160.4409812087023,severe,150.0
Shanghai,28.095013012670883,106.97246278943412,Summer,20,8,2022,96,164.42763482585485,severe,150.0
Chengdu,43.59028410981889,98.31149456022476,Summer,20,5,2015,12,219.3539940376757,severe,150.0
Chengdu,28.696484829769613,120.17655989051596,Winter,17,12,2018,28,227.24072653687776,severe,150.0
Chengdu,38.110244917529656,129.98928438486476,Summer,19,7,2017,32,205.86197831319862,severe,150.0
Shenzhen,45.062743903057836,95.43307925372804,Summer,22,12,2022,92,190.40995388137725,severe,150.0
Shanghai,30.89127140648756,115.52612235226084,Spring,5,2,2017,27,180.39649408582991,severe,150.0
Shanghai,24.045612374897956,91.58944712840317,Summer,8,6,2016,36,190.07566976910482,severe,150.0
Shanghai,39.98723436461303,96.9288476965019,Summer,5,10,2024,87,225.41916047768126,severe,150.0
Guangzhou,49.33192263357289,107.2439836438384,Winter,19,9,2022,38,203.06389558449254,severe,150.0
Chengdu,31.430294509344225,124.86994032115626,Spring,6,2,2024,17,167.26447948943442,severe,150.0
Shenzhen,49.99769403840985,93.25673395484662,Autumn,0,4,2015,51,243.1505614719994,severe,150.0
Beijing,34.1376353069701,97.67730401096613,Autumn,16,9,2024,10,246.35541950198206,severe,150.0
Beijing,22.296400855296703,107.53619888379367,Winter,3,10,2020,42,199.16681073336397,severe,150.0
Guangzhou,37.958693464725144,112.09564170935549,Autumn,7,11,2018,56,248.47049148521538,severe,150.0
Beijing,21.12170438693412,99.99467561233766,Winter,4,3,2019,70,207.19204835359685,severe,150.0
Guangzhou,28.656509265583615,125.28817272643889,Autumn,22,7,2016,22,187.33323492966514,severe,150.0
Shanghai,35.154204531212876,115.00911804021692,Summer,22,3,2024,94,235.01687231353588,severe,150.0
Guangzhou,48.5914919157556,118.51397244337953,Autumn,5,7,2020,80,178.47723001196522,severe,150.0
Shanghai,27.609262680931085,120.29471250400711,Spring,16,9,2015,12,170.3825051825374,severe,150.0
Chengdu,38.097940448760525,124.5474044389681,Summer,5,4,2023,28,158.83605315239876,severe,150.0
Shenzhen,20.415410299068483,129.08455564506122,Autumn,8,1,2022,43,216.16815307873085,severe,150.0
Chengdu,37.927293940569754,127.26844094666316,Winter,21,12,2017,27,216.46575992555734,severe,150.0
Chengdu,30.699268355343097,116.05226240166718,Spring,15,12,2019,19,204.21898819146514,severe,150.0
Beijing,22.178398049547138,118.8027719640865,Summer,1,1,2021,4,183.6879725841295,severe,150.0
Chengdu,27.05507244698385,115.25312519569937,Autumn,6,11,2022,72,218.4020042585645,severe,150.0
Chengdu,43.482224442923936,112.9278390130966,Autumn,18,11,2019,93,216.7564883062043,severe,150.0
